Athlete, Reaction, Time, 10m, 20m, 30m, 40m, 50m, 60m, 70m, 80m, 90m, 100m
Oljusoji Fasuba, 0.140, 10.18, 1.760, 1.04, 0.95, 0.89, 0.89, 0.89, 0.88, 0.90, 0.91, 0.93
Churandy Martina, 0.182, 10.15, 1.788, 1.07, 0.95, 0.91, 0.88, 0.87, 0.86, 0.87, 0.88, 0.89
Marlon Devonish, 0.154, 10.12, 1.776, 1.06, 0.94, 0.90, 0.88, 0.87, 0.87, 0.88, 0.89, 0.90
Tyson Gay, 0.170, 10.00, 1.780, 1.05, 0.93, 0.89, 0.87, 0.85, 0.85, 0.86, 0.87, 0.88
Marlon Devonish, 0.149, 10.14, 1.831, 1.01, 0.96, 0.89, 0.89, 0.87, 0.87, 0.88, 0.88, 0.91
Churandy Martina, 0.180, 10.08, 1.890, 1.03, 0.94, 0.88, 0.87, 0.85, 0.86, 0.85, 0.86, 0.87
Asafa Powell, 0.145, 9.96, 1.725, 1.04, 0.92, 0.88, 0.86, 0.85, 0.86, 0.87, 0.88, 0.93
Derrick Atkins, 0.137, 9.91, 1.763, 1.03, 0.94, 0.88, 0.87, 0.85, 0.86, 0.85, 0.86, 0.87
Tyson Gay, 0.143, 9.85, 1.757, 1.04, 0.92, 0.87, 0.86, 0.85, 0.84, 0.85, 0.86, 0.86
Naoki Tsukahara, , 10.51, 1.99, 1.06, 0.97, 0.93, 0.91, 0.91, 0.92, 0.92, 0.94, 0.96
Tyson Gay, , 10.23, 1.98, 1.07, 0.95, 0.91, 0.88, 0.88, 0.88, 0.88, 0.89, 0.91
Nobuharu Asahara, , 10.17, 1.92, 1.04, 0.95, 0.92, 0.89, 0.89, 0.88, 0.88, 0.89, 0.91
Shin Sugawara, , 10.63, 1.96, 1.09, 0.98, 0.94, 0.93, 0.93, 0.92, 0.94, 0.94, 1.00
Shintaro Kimura, , 10.50, 1.90, 1.06, 0.96, 0.92, 0.91, 0.93, 0.93, 0.95, 0.96, 0.98
Shinji Takahira, , 10.29, 1.93, 1.05, 0.94, 0.92, 0.90, 0.89, 0.91, 0.91, 0.91, 0.93
Kazuaki Iwamoto, , 10.39, 1.93, 1.08, 0.97, 0.93, 0.91, 0.89, 0.90, 0.92, 0.92, 0.94
Shintaro Kimura, , 10.36, 1.92, 1.05, 0.96, 0.92, 0.91, 0.90, 0.91, 0.92, 0.93, 0.94
Kazuyoshi Hidaka, , 10.36, 1.89, 1.06, 0.96, 0.92, 0.91, 0.90, 0.91, 0.92, 0.93, 0.96
Shinji Takahira, , 10.20, 1.93, 1.05, 0.96, 0.91, 0.89, 0.88, 0.88, 0.89, 0.90, 0.91
Tadashi Imori, , 10.69, 1.93, 1.06, 0.98, 0.94, 0.93, 0.94, 0.95, 0.97, 0.98, 1.01
Sompuote Suwannarangsri, , 10.68, 1.97, 1.07, 0.97, 0.93, 0.93, 0.91, 0.93, 0.96, 0.97, 1.04
Aaron Rouge-Serret, , 10.62, 1.97, 1.07, 0.97, 0.93, 0.92, 0.92, 0.93, 0.93, 0.95, 1.03
Yuta Kanno, , 10.58, 1.96, 1.06, 0.96, 0.94, 0.93, 0.93, 0.93, 0.94, 0.96, 0.97
